uid,session_id,user_id,timestamp,action_type,mouse_x,mouse_y,dataset_type,dt,dx,dy,distance_pixels,velocity
ee4ad3a0-2ef4-41b3-a463-5e14ef75122e,004f4522-ed15-41cf-a983-6b0f4f0b8878,0.0,1656334796973,2,1605.707,757.59375,test,0.051,0.0,0.0,0.0,0.0
347685f8-f8f2-4db1-9931-30b4a82a9420,004f4522-ed15-41cf-a983-6b0f4f0b8878,0.0,1656334797088,2,1698.1055,747.8281,test,0.115,92.39849999999979,-9.76565000000005,92.91313535863732,807.9403074664115
2ee58c23-da54-4e3f-aa19-2985644735b8,004f4522-ed15-41cf-a983-6b0f4f0b8878,0.0,1656334797939,2,1781.1367,714.2656,test,0.851,83.03120000000013,-33.5625,89.55792304252049,105.23845245889599
364e6087-7e3d-4bc3-b553-de69bf2ca92f,004f4522-ed15-41cf-a983-6b0f4f0b8878,0.0,1656334798072,2,1796.1523,634.34766,test,0.133,15.01559999999995,-79.91793999999993,81.31632909326139,611.4009706260255
4410399e-71ab-409d-bb54-225da5ac972b,004f4522-ed15-41cf-a983-6b0f4f0b8878,0.0,1656334798105,2,1724.3477,564.4414,test,0.033,-71.80459999999994,-69.90625999999997,100.2137005022147,3036.778803097415
5b790072-b95b-4320-bd12-c25ee3ee6013,004f4522-ed15-41cf-a983-6b0f4f0b8878,0.0,1656334798139,2,1607.25,495.14453,test,0.034,-117.09770000000003,-69.29687000000007,136.06589409946534,4001.93806174898
63176952-e2f2-49a7-8156-c3a5acd53953,004f4522-ed15-41cf-a983-6b0f4f0b8878,0.0,1656334798173,2,1522.625,454.69922,test,0.034,-84.625,-40.44530999999995,93.79346313041275,2758.631268541551
cb323a8e-976c-4a14-9777-ceb3a8eb8e36,004f4522-ed15-41cf-a983-6b0f4f0b8878,0.0,1656334798289,2,1437.5742,437.19922,test,0.116,-85.05079999999998,-17.5,86.83253181060654,748.5563087121253
5add6dff-553f-4790-a75e-3addbfc25638,004f4522-ed15-41cf-a983-6b0f4f0b8878,0.0,1656334798489,2,1371.2188,387.17578,test,0.2,-66.35539999999992,-50.02344000000005,83.09863812718952,415.49319063594754
9a422fd0-09ec-4913-accd-c9077cd45621,004f4522-ed15-41cf-a983-6b0f4f0b8878,0.0,1656334798698,5,1358.0703,379.95703,test,0.209,-13.148500000000013,-7.21875,14.999780125471851,71.76928289699451
