user_id,total_actions,avg_speed,speed_variance,max_burst_speed,total_distance
-2416201413457870000,556,4532.05798,73693218.29,166071.3702,72475.57606
-2416201404712520000,468,4046.448766,19593576.31,37861.65727,68823.21268
-2416201411472980000,527,3939.194244,15778607.94,34867.57232,76770.26685
-2416201407993880000,429,3921.30095,22953304.25,30772.37033,51983.89337
-2416201404510030000,400,3656.44141,95307400.15,159812.39,46435.59563
-2416201409561390000,486,3517.576923,18723246.85,45106.60192,61465.04044
-2416201404115930000,554,3466.555691,22962055.05,79993.11449,82287.77705
-2416201408805710000,526,3198.437844,54696604.31,144632.4991,64878.93507
-2416201411992730000,494,3146.573512,39101855.67,89175.23323,70834.55133
-2416201413375520000,746,3127.267762,25547893.29,63208.2372,82507.06738
-2416201409993140000,656,2673.099075,55576061.78,109171.8828,62167.69248
-2416201411126890000,605,2643.654731,13782526.62,28440.95186,74002.0562
-2416201409659180000,492,2549.611523,11767978.25,29423.36629,66402.83792
0,3906,2450.780276,15787814.54,93300.58949,450900.4719
-2416201403891400000,725,2438.42253,16412700.22,59165.02345,72053.66636
-2416201405359750000,725,2319.129354,11252970.15,44472.52035,75505.01597
-2416201410765330000,584,2251.049639,7100226.541,20544.12871,77928.25371
-2416201410620840000,541,1996.756474,7751668.427,24179.56137,68411.70437
-2416201404529060000,411,1860.620228,6221269.628,13380.06137,51753.27582
-2416201408815190000,601,1816.635417,10168979.48,58483.23182,56218.7794
-2416201409446080000,553,1188.659596,3254825.466,18984.57433,48839.61832
